"","WAIC","22/23","23/24"
"Constant","257.91","0.04(-0.4;0.71)","0.02(-0.59;1.11)"
"Période","257.85","0.20(-0.41;0.78)","0.37(-0.6;1.25)"
"Effet Aléatoire","257.87","0.05(-0.34;1.04)","0.05(-0.5;1.96)"
